source_file,blink_rate,eye_contact_percentage,head_movement_frequency,emotion_stability,emotion_confidence,confidence_label
aagam_q1.json,0.5263157894736842,32.666666666666664,0.0,1.0,0.16293544004360835,Low
aagam_q2.json,0.6276150627615062,24.0,1.00418410041841,0.8926174496644296,0.15145018775212138,Low
aagam_q3.json,0.6194690265486725,37.333333333333336,2.2123893805309733,1.0,0.15365149974822997,Low
aagam_q4.json,0.6069364161849711,20.0,1.7341040462427746,0.9395973154362416,0.15708671268234906,Low
adish_q1_part1.json,0.5882352941176471,85.33333333333334,0.23529411764705882,0.9530201342281879,0.1672464330460279,High
adish_q1_part2.json,0.3585657370517928,100.0,0.0,1.0,0.15743635197480518,High
adish_q2_part1.json,0.597609561752988,100.0,0.0,1.0,0.16598284582297007,High
adish_q2_part2.json,0.24291497975708504,100.0,0.0,1.0,0.1525250236193339,High
adish_q3_part1.json,0.2823529411764706,100.0,0.21176470588235294,1.0,0.16306951075792311,High
adish_q4.json,0.25069637883008355,100.0,0.08356545961002786,1.0,0.17035451034704843,High
aditya_q1.json,0.7407407407407407,88.66666666666667,6.851851851851851,1.0,0.1484679675102234,High
aditya_q2.json,0.594059405940594,87.33333333333333,7.2772277227722775,0.9530201342281879,0.15422932306925455,High
aditya_q3.json,0.6072874493927126,98.66666666666667,10.0,1.0,0.14940351486206055,High
aditya_q4_part1.json,0.6907894736842105,100.0,10.0,0.9194630872483222,0.15117010737166686,High
aryan_q1_part1.json,0.9502262443438915,94.0,7.1945701357466065,0.912751677852349,0.14644134071020953,High
aryan_q1_part2.json,0.6818181818181819,68.0,6.409090909090909,1.0,0.15552696367104848,Medium
aryan_q2_part1.json,0.7894736842105263,98.0,9.868421052631579,1.0,0.1691924113035202,High
aryan_q2_part2.json,0.5960264900662252,72.66666666666667,4.569536423841059,1.0,0.1509628183643023,High
aryan_q3_part1.json,0.6417112299465241,84.66666666666667,10.0,0.9731543624161074,0.15721606186458043,High
aryan_q3_part2.json,0.6451612903225806,100.0,6.290322580645161,0.9597315436241611,0.1561144424172548,High
aryan_q4_part1.json,1.3725490196078431,73.33333333333333,9.411764705882353,0.9463087248322147,0.1537578757852316,High
aryan_q4_part2.json,0.39473684210526316,67.33333333333333,5.921052631578948,1.0,0.1633623985449473,Medium
bhavesh_q1_part1.json,0.9969788519637462,100.0,0.09063444108761329,0.9395973154362416,0.15225631960733668,High
bhavesh_q1_part2.json,1.0576923076923077,100.0,0.09615384615384615,1.0,0.16052106122175852,High
bhavesh_q2_part1.json,1.5901060070671378,14.000000000000002,0.0,1.0,0.15914191444714865,Low
bhavesh_q2_part2.json,1.3356164383561644,26.0,0.10273972602739727,1.0,0.1529347626368205,Low
bhavesh_q3.json,0.3519061583577712,94.0,0.5278592375366569,1.0,0.15757243106762567,High
